character_a,character_b,forward_relation,backward_relation,gender_tag
Penelope Shaw,Irene Papadopoulos,sailor,captain,n-n
Andrei Petrov,Karina Alvarez,mentee,mentor,n-n
Andrei Petrov,Theodore Hayes,sailor,captain,n-n
Gabriel Thompson,Freya Evans,mentee,mentor,n-n
Gabriel Thompson,Yasmine Graves,sailor,captain,n-n
Gabriel Thompson,Nadia Abadi,student,principal,n-n
Yvette Pittman,Lifen Qiu,niece,uncle,m-f
Yvette Pittman,Nadia Abadi,patient,doctor,n-n
Nadia Abadi,Yasmine Graves,sailor,captain,n-n
Nadia Abadi,Lifen Qiu,child,father,m-n
Liam O'Connor,Akira Tanaka,sailor,captain,n-n
Liam O'Connor,Raymond Gardner,sailor,captain,n-n
Jasmine Khan,Lifen Qiu,child,father,m-n
Jasmine Khan,Stefan Nowak,student,principal,n-n
Xiuying Gao,Freya Evans,nephew,aunt,f-m
Warren Lyons,John Pierce,student,principal,n-n
Warren Lyons,Lucia Rodriguez,child,father,m-n
Warren Lyons,Maya Patel,patient,doctor,n-n
Ananya Sharma,Ella Watson,grandchild,grandparent,n-n
Ananya Sharma,Theodore Hayes,student,principal,n-n
Ananya Sharma,Xavier Poole,sailor,captain,n-n
Scarlett West,Irene Papadopoulos,employee,boss,n-n
Gemma Edwards,Andrei Petrov,athlete,coach,n-n
Gemma Edwards,Wendy Castro,passenger,pilot,n-n
Gemma Edwards,John Pierce,child,father,m-n
Akira Tanaka,Gemma Edwards,child,father,m-n
Akira Tanaka,Raymond Gardner,patient,doctor,n-n
Akira Tanaka,Julian Arnold,niece,uncle,m-f
Jordan Gibson,Raymond Gardner,sailor,captain,n-n
Jordan Gibson,Winter Ball,athlete,coach,n-n
Jordan Gibson,Dominic Carter,niece,uncle,m-f
Audrey Cooper,Xavier Poole,sailor,captain,n-n
Audrey Cooper,John Pierce,nephew,aunt,f-m
Isaac Cohen,Hazel Morris,researcher,professor,n-n
Isaac Cohen,Akira Tanaka,student,principal,n-n
Hannah Parker,Yvette Pittman,sailor,captain,n-n
Hannah Parker,Liam O'Connor,child,father,m-n
Hannah Parker,Javier Hernandez,athlete,coach,n-n
Aleksandra Ivanova,Raymond Gardner,sailor,captain,n-n
Aleksandra Ivanova,Wendy Castro,friend,friend,n-n
Aleksandra Ivanova,Xavier Poole,mentee,mentor,n-n
Irene Papadopoulos,Raymond Gardner,patient,doctor,n-n
Irene Papadopoulos,Robert Hayes,student,principal,n-n
Irene Papadopoulos,Freya Evans,student,principal,n-n
Karina Alvarez,Lucia Rodriguez,sailor,captain,n-n
Ella Watson,Isaac Cohen,brother,sister,f-m
Ella Watson,Wendy Castro,student,principal,n-n
Ella Watson,Raymond Gardner,child,father,m-n
Julian Arnold,Nadia Abadi,employee,boss,n-n
Julian Arnold,Irene Papadopoulos,researcher,professor,n-n
Julian Arnold,Lucia Rodriguez,child,father,m-n
Wendy Castro,Isaac Cohen,researcher,professor,n-n
