character_a,character_b,forward_relation,backward_relation,gender_tag
Penelope Shaw,Julian Arnold,employee,boss,n-n
Andrei Petrov,Isaac Cohen,student,principal,n-n
Andrei Petrov,Jasmine Khan,sailor,captain,n-n
Andrei Petrov,Winter Ball,student,principal,n-n
Gabriel Thompson,Xavier Poole,athlete,coach,n-n
Yvette Pittman,Akira Tanaka,brother,sister,f-m
Nadia Abadi,Javier Hernandez,client,therapist,n-n
Liam O'Connor,Lifen Qiu,friend,friend,n-n
Liam O'Connor,Scarlett West,researcher,professor,n-n
Liam O'Connor,Wendy Castro,mentee,mentor,n-n
Jasmine Khan,Julian Arnold,athlete,coach,n-n
Jasmine Khan,Nikolai Sokolov,friend,friend,n-n
Jasmine Khan,John Pierce,student,principal,n-n
Xiuying Gao,Irene Papadopoulos,child,father,m-n
Xiuying Gao,Yvette Pittman,patient,doctor,n-n
Warren Lyons,Victor Norman,employee,boss,n-n
Warren Lyons,Cadence Howard,friend,friend,n-n
Ananya Sharma,Yasmine Graves,grandchild,grandparent,n-n
Ananya Sharma,Lifen Qiu,patient,doctor,n-n
Scarlett West,Gabriel Thompson,patient,doctor,n-n
Scarlett West,Irene Papadopoulos,patient,doctor,n-n
Gemma Edwards,Bob Williams,student,principal,n-n
Gemma Edwards,Victor Norman,sailor,captain,n-n
Akira Tanaka,Lifen Qiu,subject,king,m-n
Akira Tanaka,Tatiana Orlova,niece,uncle,m-f
Jordan Gibson,Penelope Shaw,client,therapist,n-n
Jordan Gibson,Xavier Poole,employee,boss,n-n
Jordan Gibson,Bob Williams,student,principal,n-n
Audrey Cooper,Xena Rios,patient,doctor,n-n
Audrey Cooper,Karina Alvarez,client,therapist,n-n
Isaac Cohen,Cadence Howard,athlete,coach,n-n
Isaac Cohen,Akira Tanaka,employee,boss,n-n
Isaac Cohen,Elena Popova,client,therapist,n-n
Hannah Parker,Aleksandra Ivanova,passenger,pilot,n-n
Hannah Parker,Freya Evans,student,principal,n-n
Hannah Parker,Winter Ball,researcher,professor,n-n
Aleksandra Ivanova,Wendy Castro,employee,boss,n-n
Irene Papadopoulos,Winter Ball,client,therapist,n-n
Karina Alvarez,Scarlett West,client,therapist,n-n
Karina Alvarez,Xiuying Gao,sailor,captain,n-n
Karina Alvarez,John Pierce,child,father,m-n
Ella Watson,Akira Tanaka,student,principal,n-n
Ella Watson,Freya Evans,employee,boss,n-n
Ella Watson,Irene Papadopoulos,sailor,captain,n-n
Julian Arnold,Nadia Abadi,niece,uncle,m-f
Julian Arnold,Lucia Rodriguez,patient,doctor,n-n
Wendy Castro,Robert Hayes,friend,friend,n-n
Wendy Castro,Penelope Shaw,patient,doctor,n-n
Wendy Castro,Ananya Sharma,passenger,pilot,n-n
Hazel Morris,Bob Williams,researcher,professor,n-n
Hazel Morris,Freya Evans,mentee,mentor,n-n
Hazel Morris,Akira Tanaka,passenger,pilot,n-n
Helena Novak,Hazel Morris,passenger,pilot,n-n
Raymond Gardner,Nadia Abadi,patient,doctor,n-n
Raymond Gardner,Freya Evans,mentee,mentor,n-n
Yasmine Graves,Amir Zaidi,child,father,m-n
Yasmine Graves,Ella Watson,patient,doctor,n-n
Alexander Reed,Julian Arnold,patient,doctor,n-n
Alexander Reed,Victor Norman,employee,boss,n-n
Alexander Reed,Tatiana Orlova,patient,doctor,n-n
Javier Hernandez,Tatiana Orlova,student,principal,n-n
Cadence Howard,Andrei Petrov,grandchild,grandparent,n-n
Cadence Howard,Liam O'Connor,patient,doctor,n-n
John Pierce,Amir Zaidi,client,therapist,n-n
John Pierce,Theodore Hayes,employee,boss,n-n
John Pierce,Xavier Poole,student,principal,n-n
Nikolai Sokolov,Lucia Rodriguez,student,principal,n-n
Nikolai Sokolov,Lifen Qiu,niece,uncle,m-f
Bob Williams,Ella Watson,friend,friend,n-n
Elena Popova,Stefan Nowak,grandchild,grandparent,n-n
Elena Popova,Amir Zaidi,brother,sister,f-m
Xena Rios,Xiuying Gao,employee,boss,n-n
Tatiana Orlova,Audrey Cooper,employee,boss,n-n
Tatiana Orlova,Xavier Poole,student,principal,n-n
Tatiana Orlova,Hannah Parker,passenger,pilot,n-n
Robert Hayes,John Pierce,subject,king,m-n
Robert Hayes,Raymond Gardner,passenger,pilot,n-n
Dominic Carter,Bob Williams,client,therapist,n-n
Dominic Carter,Jasmine Khan,patient,doctor,n-n
Dominic Carter,Theodore Hayes,child,father,m-n
Winter Ball,Gabriel Thompson,passenger,pilot,n-n
Winter Ball,Nikolai Sokolov,student,principal,n-n
Stefan Nowak,Yvette Pittman,athlete,coach,n-n
Stefan Nowak,John Pierce,employee,boss,n-n
Xavier Poole,Javier Hernandez,employee,boss,n-n
Victor Norman,Tatiana Orlova,client,therapist,n-n
Victor Norman,Liam O'Connor,patient,doctor,n-n
Victor Norman,Wendy Castro,patient,doctor,n-n
Zayd Abdullah,Xiuying Gao,grandchild,grandparent,n-n
Amir Zaidi,Theodore Hayes,athlete,coach,n-n
Amir Zaidi,Jordan Gibson,subject,king,m-n
Lifen Qiu,Andrei Petrov,nephew,aunt,f-m
Lifen Qiu,Jasmine Khan,patient,doctor,n-n
Theodore Hayes,Cadence Howard,subject,king,m-n
Maya Patel,Hazel Morris,sailor,captain,n-n
Lucia Rodriguez,Hazel Morris,patient,doctor,n-n
Christian Perry,Raymond Gardner,mentee,mentor,n-n
Freya Evans,Nadia Abadi,student,principal,n-n
Freya Evans,Maya Patel,employee,boss,n-n
