question,answer,character_a,character_b,relation
Who is Naomi's passenger?,Sebastian,Naomi,Sebastian,passenger
Who is Imani's sailor?,Sebastian,Imani,Sebastian,sailor
Who is Andrei's employee?,Sebastian,Andrei,Sebastian,employee
Who is Maya's subject?,Sebastian,Maya,Sebastian,subject
Who is Malik's brother?,Sebastian,Malik,Sebastian,brother
Who is Cheng's grandchild?,Omar,Cheng,Omar,grandchild
Who is Naomi's athlete?,Diana,Naomi,Diana,athlete
Who is Anders's patient?,Diana,Anders,Diana,patient
Who is Stefan's client?,Diana,Stefan,Diana,client
Who is Ethan's brother?,Yasmin,Ethan,Yasmin,brother
Who is Jasmine's patient?,Yasmin,Jasmine,Yasmin,patient
Who is Xander's passenger?,Yasmin,Xander,Yasmin,passenger
Who is Kai's passenger?,Cheng,Kai,Cheng,passenger
Who is Liam's friend?,Bianca,Liam,Bianca,friend
Who is Sofia's client?,Bianca,Sofia,Bianca,client
Who is Valentina's niece?,Andrei,Valentina,Andrei,niece
Who is Charlie's child?,Andrei,Charlie,Andrei,child
Who is Mia's grandchild?,Andrei,Mia,Andrei,grandchild
Who is Sofia's child?,Andrei,Sofia,Andrei,child
Who is Samira's brother?,Rosa,Samira,Rosa,brother
Who is Imani's subject?,Rosa,Imani,Rosa,subject
Who is Raj's niece?,Rosa,Raj,Rosa,niece
Who is Liam's passenger?,Naomi,Liam,Naomi,passenger
Who is Tara's client?,Naomi,Tara,Naomi,client
Who is Xander's grandchild?,Stefan,Xander,Stefan,grandchild
Who is Angela's researcher?,Stefan,Angela,Stefan,researcher
Who is Jasmine's grandchild?,Miguel,Jasmine,Miguel,grandchild
Who is Gabriela's employee?,Miguel,Gabriela,Miguel,employee
Who is Fatima's student?,Miguel,Fatima,Miguel,student
Who is Maya's pet?,Miguel,Maya,Miguel,pet
Who is Tara's student?,Miguel,Tara,Miguel,student
Who is Malik's employee?,Lucia,Malik,Lucia,employee
Who is Liam's athlete?,Raj,Liam,Raj,athlete
Who is Anders's athlete?,Raj,Anders,Raj,athlete
Who is Kai's mentee?,Ingrid,Kai,Ingrid,mentee
Who is Charlie's researcher?,Ingrid,Charlie,Ingrid,researcher
Who is Aaron's patient?,Ingrid,Aaron,Ingrid,patient
Who is Maria's passenger?,Ingrid,Maria,Ingrid,passenger
Who is Ethan's niece?,Ingrid,Ethan,Ingrid,niece
Who is Samira's patient?,Ethan,Samira,Ethan,patient
Who is Quinn's patient?,Zayd,Quinn,Zayd,patient
Who is Theodore's student?,Zayd,Theodore,Zayd,student
Who is Maria's passenger?,Theodore,Maria,Theodore,passenger
Who is Amelia's nephew?,Theodore,Amelia,Theodore,nephew
Who is Aaron's sailor?,Anders,Aaron,Anders,sailor
Who is Jasmine's niece?,Anders,Jasmine,Anders,niece
Who is Akira's pet?,Anders,Akira,Anders,pet
Who is Yuki's child?,Anders,Yuki,Anders,child
Who is Angela's mentee?,Anders,Angela,Anders,mentee
Who is Charlie's nephew?,Angela,Charlie,Angela,nephew
Who is Quinn's grandchild?,Angela,Quinn,Angela,grandchild
Who is Delia's child?,Angela,Delia,Angela,child
Who is Gabriela's student?,Malik,Gabriela,Malik,student
Who is Fatima's student?,Malik,Fatima,Malik,student
Who is Charlie's employee?,Richard,Charlie,Richard,employee
Who is Amelia's employee?,Richard,Amelia,Richard,employee
Who is Quinn's pet?,Richard,Quinn,Richard,pet
Who is Fatima's researcher?,Richard,Fatima,Richard,researcher
Who is Aaron's sailor?,Sofia,Aaron,Sofia,sailor
Who is Fatima's patient?,Sofia,Fatima,Sofia,patient
Who is Liam's brother?,Nikolai,Liam,Nikolai,brother
Who is Charlie's nephew?,Nikolai,Charlie,Nikolai,nephew
Who is Quinn's student?,Amelia,Quinn,Amelia,student
Who is Delia's client?,Amelia,Delia,Amelia,client
Who is Selena's mentee?,Amelia,Selena,Amelia,mentee
Who is Fatima's grandchild?,Amelia,Fatima,Amelia,grandchild
Who is Jasmine's child?,Valentina,Jasmine,Valentina,child
Who is Selena's subject?,Valentina,Selena,Valentina,subject
Who is Samira's passenger?,Imani,Samira,Imani,passenger
Who is Delia's child?,Imani,Delia,Imani,child
Who is Xander's grandchild?,Imani,Xander,Imani,grandchild
Who is Yuki's student?,Imani,Yuki,Imani,student
Who is Gabriela's child?,Imani,Gabriela,Imani,child
Who is Alice's patient?,Xander,Alice,Xander,patient
Who is Kai's pet?,Xander,Kai,Xander,pet
Who is Tara's brother?,Xander,Tara,Xander,brother
Who is Felix's brother?,Jasmine,Felix,Jasmine,brother
Who is Hiroshi's mentee?,Jasmine,Hiroshi,Jasmine,mentee
Who is Kai's mentee?,Jasmine,Kai,Jasmine,mentee
Who is Selena's patient?,Jasmine,Selena,Jasmine,patient
Who is Akira's employee?,Jasmine,Akira,Jasmine,employee
Who is Mia's child?,Yuki,Mia,Yuki,child
Who is Kai's athlete?,Yuki,Kai,Yuki,athlete
Who is Aaron's niece?,Yuki,Aaron,Yuki,niece
Who is Felix's mentee?,Yuki,Felix,Yuki,mentee
Who is Maya's researcher?,Alice,Maya,Alice,researcher
Who is Maria's client?,Alice,Maria,Alice,client
Who is Delia's patient?,Aaron,Delia,Aaron,patient
Who is Maya's client?,Aaron,Maya,Aaron,client
Who is Tara's researcher?,Victor,Tara,Victor,researcher
Who is Hiroshi's mentee?,Victor,Hiroshi,Victor,mentee
Who is Samira's student?,Felix,Samira,Felix,student
Who is Amir's pet?,Samira,Amir,Samira,pet
Who is Liam's pet?,Samira,Liam,Samira,pet
Who is Gabriela's child?,Tara,Gabriela,Tara,child
Who is Akira's friend?,Tara,Akira,Tara,friend
Who is Maya's nephew?,Selena,Maya,Selena,nephew
Who is Mia's patient?,Selena,Mia,Selena,patient
Who is Liam's researcher?,Selena,Liam,Selena,researcher
Who is Kai's pet?,Selena,Kai,Selena,pet
Who is Liam's brother?,Maya,Liam,Maya,brother
Who is Akira's child?,Maya,Akira,Maya,child
Who is Maria's child?,Gabriel,Maria,Gabriel,child
Who is Hiroshi's subject?,Gabriel,Hiroshi,Gabriel,subject
Who is Fatima's pet?,Gabriel,Fatima,Gabriel,pet
Who is Kai's student?,Gabriel,Kai,Gabriel,student
Who is Charlie's student?,Gabriel,Charlie,Gabriel,student
Who is Amir's student?,Fatima,Amir,Fatima,student
Who is Charlie's friend?,Fatima,Charlie,Fatima,friend
Who is Maria's student?,Amir,Maria,Amir,student
Who is Charlie's subject?,Liam,Charlie,Liam,subject
Who is Mia's grandchild?,Liam,Mia,Liam,grandchild
Who is Mia's patient?,Akira,Mia,Akira,patient
Who is Hiroshi's brother?,Akira,Hiroshi,Akira,brother
Who is Maria's niece?,Akira,Maria,Akira,niece
Who is Quinn's grandchild?,Akira,Quinn,Akira,grandchild
Who is Delia's patient?,Akira,Delia,Akira,patient
Who is Delia's niece?,Mia,Delia,Mia,niece
Who is Gabriela's student?,Mia,Gabriela,Mia,student
Who is Quinn's child?,Mia,Quinn,Mia,child
Who is Hiroshi's client?,Mia,Hiroshi,Mia,client
Who is Gabriela's student?,Kai,Gabriela,Kai,student
Who is Delia's patient?,Kai,Delia,Kai,patient
Who is Maria's employee?,Kai,Maria,Kai,employee
Who is Hiroshi's employee?,Kai,Hiroshi,Kai,employee
Who is Charlie's student?,Kai,Charlie,Kai,student
Who is Charlie's friend?,Delia,Charlie,Delia,friend
Who is Maria's client?,Delia,Maria,Delia,client
Who is Hiroshi's mentee?,Quinn,Hiroshi,Quinn,mentee
Who is Gabriela's employee?,Quinn,Gabriela,Quinn,employee
Who is Charlie's patient?,Quinn,Charlie,Quinn,patient
Who is Charlie's researcher?,Hiroshi,Charlie,Hiroshi,researcher
Who is Maria's nephew?,Charlie,Maria,Charlie,nephew
Who is Maria's brother?,Gabriela,Maria,Gabriela,brother
