question,answer
Which person works for Penelope Shaw?,Julian Arnold
Who works under Penelope Shaw?,Julian Arnold
Who is employed by Penelope Shaw?,Julian Arnold
Who does Penelope Shaw employ?,Julian Arnold
Which student was taught by Andrei Petrov?,Isaac Cohen
Who was taught by Andrei Petrov?,Isaac Cohen
Can you tell me who studied under Andrei Petrov?,Isaac Cohen
Who learned from Andrei Petrov?,Isaac Cohen
Who is the sailor belonging to Andrei Petrov?,Jasmine Khan
Which sailor is associated with Andrei Petrov?,Jasmine Khan
Can you tell me who Andrei Petrov's sailor is?,Jasmine Khan
Who does Andrei Petrov have as his sailor?,Jasmine Khan
Who is a student of Andrei Petrov?,Winter Ball
Who did Andrei Petrov teach?,Winter Ball
Who studied under Andrei Petrov?,Winter Ball
Who learned from Andrei Petrov?,Winter Ball
Which athlete is represented by Gabriel Thompson?,Xavier Poole
Who is the athlete associated with Gabriel Thompson?,Xavier Poole
Which sports figure is connected to Gabriel Thompson?,Xavier Poole
Who is the athlete linked to Gabriel Thompson?,Xavier Poole
Could you tell me who Yvette Pittman's brother is?,Akira Tanaka
What is the name of Yvette Pittman's brother?,Akira Tanaka
Do you know who Yvette Pittman's sibling is?,Akira Tanaka
Can you identify Yvette Pittman's brother?,Akira Tanaka
Who does Nadia Abadi represent?,Javier Hernandez
Who is the client of Nadia Abadi?,Javier Hernandez
Who is represented by Nadia Abadi?,Javier Hernandez
Who has hired Nadia Abadi as their client?,Javier Hernandez
Who is the friend of Liam O'Connor?,Lifen Qiu
Who does Liam O'Connor consider a friend?,Lifen Qiu
Who would be considered a friend of Liam O'Connor?,Lifen Qiu
Who counts as a friend to Liam O'Connor?,Lifen Qiu
Who conducts research for Liam O'Connor?,Scarlett West
Who is the research associate working with Liam O'Connor?,Scarlett West
Who is the researcher associated with Liam O'Connor?,Scarlett West
Who collaborates with Liam O'Connor as a researcher?,Scarlett West
Who is being mentored by Liam O'Connor?,Wendy Castro
Who is under the mentorship of Liam O'Connor?,Wendy Castro
Who has Liam O'Connor taken on as a mentee?,Wendy Castro
Who does Liam O'Connor mentor?,Wendy Castro
Which athlete is associated with Jasmine Khan?,Julian Arnold
Who is the athlete connected to Jasmine Khan?,Julian Arnold
Can you tell me the name of Jasmine Khan's athlete?,Julian Arnold
What is the name of the athlete linked to Jasmine Khan?,Julian Arnold
Who is the friend of Jasmine Khan?,Nikolai Sokolov
Who does Jasmine Khan count as her friend?,Nikolai Sokolov
Who considers Jasmine Khan a friend?,Nikolai Sokolov
Who is a friend to Jasmine Khan?,Nikolai Sokolov
Who is learning from Jasmine Khan?,John Pierce
Who studies under Jasmine Khan?,John Pierce
Who is taught by Jasmine Khan?,John Pierce
Who is a pupil of Jasmine Khan?,John Pierce
Who is the child of Xiuying Gao?,Irene Papadopoulos
Who is the offspring of Xiuying Gao?,Irene Papadopoulos
Who is Xiuying Gao a parent to?,Irene Papadopoulos
Who is Xiuying Gao's son or daughter?,Irene Papadopoulos
Who is the patient of Xiuying Gao?,Yvette Pittman
Which patient is under the care of Xiuying Gao?,Yvette Pittman
Can you tell me the name of Xiuying Gao's patient?,Yvette Pittman
Who is being treated by Xiuying Gao?,Yvette Pittman
Who works for Warren Lyons?,Victor Norman
Which individual is employed by Warren Lyons?,Victor Norman
Can you tell me who Warren Lyons's employee is?,Victor Norman
Who does Warren Lyons have working for him?,Victor Norman
Who is the friend of Warren Lyons?,Cadence Howard
Who does Warren Lyons consider a friend?,Cadence Howard
Who counts as Warren Lyons's companion?,Cadence Howard
Who can be called a friend by Warren Lyons?,Cadence Howard
Who is the grandchild of Ananya Sharma?,Yasmine Graves
Who is related to Ananya Sharma as a grandchild?,Yasmine Graves
Can you tell me who Ananya Sharma's grandchild is?,Yasmine Graves
Who does Ananya Sharma have as a grandchild?,Yasmine Graves
Who is the patient of Ananya Sharma?,Lifen Qiu
Can you tell me who Ananya Sharma's patient is?,Lifen Qiu
What is the name of Ananya Sharma's patient?,Lifen Qiu
Could you identify the patient of Ananya Sharma?,Lifen Qiu
Which patient does Scarlett West have?,Gabriel Thompson
Whom is Scarlett West treating as a patient?,Gabriel Thompson
Who is under the care of Scarlett West as a patient?,Gabriel Thompson
Who is receiving treatment from Scarlett West?,Gabriel Thompson
Who is being treated by Scarlett West?,Irene Papadopoulos
Who is the patient under Scarlett West's care?,Irene Papadopoulos
Who is receiving treatment from Scarlett West?,Irene Papadopoulos
Who is the person that Scarlett West is attending to?,Irene Papadopoulos
Which student is taught by Gemma Edwards?,Bob Williams
Who studies under Gemma Edwards?,Bob Williams
Who is the pupil of Gemma Edwards?,Bob Williams
Who is being taught by Gemma Edwards?,Bob Williams
Who is the sailor associated with Gemma Edwards?,Victor Norman
Who sails with Gemma Edwards?,Victor Norman
Who is the sailor partnered with Gemma Edwards?,Victor Norman
Who is the sailor that accompanies Gemma Edwards?,Victor Norman
What is the focus of Akira Tanaka's work?,Lifen Qiu
Who does Akira Tanaka study?,Lifen Qiu
What topic does Akira Tanaka explore?,Lifen Qiu
Who is the focus of Akira Tanaka's research?,Lifen Qiu
What is the name of Akira Tanaka's niece?,Tatiana Orlova
Can you tell me who Akira Tanaka's niece is?,Tatiana Orlova
Do you know the name of Akira Tanaka's niece?,Tatiana Orlova
Could you identify Akira Tanaka's niece for me?,Tatiana Orlova
Which client does Jordan Gibson represent?,Penelope Shaw
Who does Jordan Gibson work for as a client?,Penelope Shaw
Who is the client of Jordan Gibson?,Penelope Shaw
Who is represented by Jordan Gibson?,Penelope Shaw
Who works for Jordan Gibson?,Xavier Poole
Who is employed by Jordan Gibson?,Xavier Poole
Who does Jordan Gibson have on their staff?,Xavier Poole
Who is on Jordan Gibson's payroll?,Xavier Poole
Which student is taught by Jordan Gibson?,Bob Williams
Who studies under Jordan Gibson?,Bob Williams
Who is being taught by Jordan Gibson?,Bob Williams
Who is the student of Jordan Gibson?,Bob Williams
Who is the patient under Audrey Cooper's care?,Xena Rios
Which patient does Audrey Cooper oversee?,Xena Rios
Can you tell me who Audrey Cooper's patient is?,Xena Rios
Who is being treated by Audrey Cooper?,Xena Rios
Who is the client of Audrey Cooper?,Karina Alvarez
Who does Audrey Cooper represent?,Karina Alvarez
Who is represented by Audrey Cooper?,Karina Alvarez
Who is the person Audrey Cooper is working for?,Karina Alvarez
Who is the athlete associated with Isaac Cohen?,Cadence Howard
Which athlete is linked to Isaac Cohen?,Cadence Howard
Can you tell me who Isaac Cohen's athlete is?,Cadence Howard
Who is the athlete connected to Isaac Cohen?,Cadence Howard
Who works for Isaac Cohen?,Akira Tanaka
Which person is employed by Isaac Cohen?,Akira Tanaka
Who is employed under Isaac Cohen?,Akira Tanaka
Who is the staff member of Isaac Cohen?,Akira Tanaka
Who does Isaac Cohen represent?,Elena Popova
Who is the client of Isaac Cohen?,Elena Popova
Who is being represented by Isaac Cohen?,Elena Popova
Who employs Isaac Cohen as their client?,Elena Popova
Who is the person accompanying Hannah Parker?,Aleksandra Ivanova
Who is traveling with Hannah Parker?,Aleksandra Ivanova
Who is riding with Hannah Parker?,Aleksandra Ivanova
Who accompanies Hannah Parker on her journey?,Aleksandra Ivanova
Which student is taught by Hannah Parker?,Freya Evans
Who studies under Hannah Parker?,Freya Evans
Which individual is a student of Hannah Parker?,Freya Evans
Who is being instructed by Hannah Parker?,Freya Evans
Who conducts research for Hannah Parker?,Winter Ball
Who is the researcher working with Hannah Parker?,Winter Ball
Who is the person researching on behalf of Hannah Parker?,Winter Ball
Who serves as the researcher for Hannah Parker?,Winter Ball
Which person works for Aleksandra Ivanova?,Wendy Castro
Who is employed by Aleksandra Ivanova?,Wendy Castro
Who works under Aleksandra Ivanova?,Wendy Castro
Who does Aleksandra Ivanova have as an employee?,Wendy Castro
Who does Irene Papadopoulos represent as a client?,Winter Ball
Who is the client of Irene Papadopoulos?,Winter Ball
Who is the person represented by Irene Papadopoulos?,Winter Ball
Who does Irene Papadopoulos have as a client?,Winter Ball
Who is the client of Karina Alvarez?,Scarlett West
Which client does Karina Alvarez represent?,Scarlett West
Who does Karina Alvarez serve as a client?,Scarlett West
Who is the individual that Karina Alvarez represents as a client?,Scarlett West
Which sailor is associated with Karina Alvarez?,Xiuying Gao
Who is the sailor linked to Karina Alvarez?,Xiuying Gao
Can you tell me the sailor connected to Karina Alvarez?,Xiuying Gao
Who is the sailor that belongs to Karina Alvarez?,Xiuying Gao
Who is the child of Karina Alvarez?,John Pierce
Who is the offspring of Karina Alvarez?,John Pierce
Can you tell me who Karina Alvarez's child is?,John Pierce
What is the name of Karina Alvarez's child?,John Pierce
Which student does Ella Watson teach?,Akira Tanaka
Who studies under Ella Watson?,Akira Tanaka
Who is the student taught by Ella Watson?,Akira Tanaka
Who learns from Ella Watson?,Akira Tanaka
Which person works for Ella Watson?,Freya Evans
Who works under Ella Watson?,Freya Evans
Who does Ella Watson employ?,Freya Evans
Who is employed by Ella Watson?,Freya Evans
Who is the sailor associated with Ella Watson?,Irene Papadopoulos
Which sailor is linked to Ella Watson?,Irene Papadopoulos
Can you tell me who Ella Watson's sailor is?,Irene Papadopoulos
Who serves as the sailor for Ella Watson?,Irene Papadopoulos
Can you tell me the name of Julian Arnold's niece?,Nadia Abadi
What is the name of Julian Arnold's niece?,Nadia Abadi
Could you inform me about Julian Arnold's niece?,Nadia Abadi
Do you know the name of Julian Arnold's niece?,Nadia Abadi
Who is the patient of Julian Arnold?,Lucia Rodriguez
Which patient does Julian Arnold have?,Lucia Rodriguez
Can you tell me who Julian Arnold's patient is?,Lucia Rodriguez
Who is under the care of Julian Arnold?,Lucia Rodriguez
Who is the friend of Wendy Castro?,Robert Hayes
Who is the person that Wendy Castro is friends with?,Robert Hayes
Who does Wendy Castro consider a friend?,Robert Hayes
Who is friends with Wendy Castro?,Robert Hayes
Which patient is under Wendy Castro's care?,Penelope Shaw
Who is the patient being treated by Wendy Castro?,Penelope Shaw
Who is the individual receiving care from Wendy Castro?,Penelope Shaw
Who is under the medical care of Wendy Castro?,Penelope Shaw
Who is the person traveling with Wendy Castro?,Ananya Sharma
Who accompanies Wendy Castro as a passenger?,Ananya Sharma
Who is riding with Wendy Castro?,Ananya Sharma
Who is the passenger with Wendy Castro?,Ananya Sharma
Who conducts research for Hazel Morris?,Bob Williams
Who carries out research tasks for Hazel Morris?,Bob Williams
Who serves as the researcher for Hazel Morris?,Bob Williams
Who handles the research work for Hazel Morris?,Bob Williams
Who is the person mentored by Hazel Morris?,Freya Evans
Who receives mentorship from Hazel Morris?,Freya Evans
Who does Hazel Morris mentor?,Freya Evans
Who is under the guidance of Hazel Morris?,Freya Evans
Who accompanies Hazel Morris as a passenger?,Akira Tanaka
Who is riding with Hazel Morris?,Akira Tanaka
Who is traveling with Hazel Morris as a passenger?,Akira Tanaka
Who is the passenger with Hazel Morris?,Akira Tanaka
Who is the person traveling with Helena Novak?,Hazel Morris
Who accompanies Helena Novak as a passenger?,Hazel Morris
Who is riding with Helena Novak?,Hazel Morris
Who is the passenger with Helena Novak?,Hazel Morris
Who is the patient under Raymond Gardner's care?,Nadia Abadi
Who does Raymond Gardner treat as a patient?,Nadia Abadi
Who is being treated by Raymond Gardner?,Nadia Abadi
Who is the patient of Raymond Gardner?,Nadia Abadi
Who is the person mentored by Raymond Gardner?,Freya Evans
Who does Raymond Gardner mentor?,Freya Evans
Who has Raymond Gardner taken under his wing as a mentee?,Freya Evans
Who is being guided by Raymond Gardner as a mentee?,Freya Evans
Who is the child of Yasmine Graves?,Amir Zaidi
What is the name of Yasmine Graves's child?,Amir Zaidi
Can you tell me who Yasmine Graves's child is?,Amir Zaidi
Who is the offspring of Yasmine Graves?,Amir Zaidi
Who is the patient of Yasmine Graves?,Ella Watson
Who does Yasmine Graves treat as a patient?,Ella Watson
Who is the individual under Yasmine Graves's care?,Ella Watson
Who receives medical care from Yasmine Graves?,Ella Watson
Who is the patient under Alexander Reed's care?,Julian Arnold
Who does Alexander Reed treat as a patient?,Julian Arnold
Who is being treated by Alexander Reed?,Julian Arnold
Who is the patient of Alexander Reed?,Julian Arnold
Who works for Alexander Reed?,Victor Norman
Who is employed by Alexander Reed?,Victor Norman
Who does Alexander Reed have as an employee?,Victor Norman
Who is on Alexander Reed's staff?,Victor Norman
Who is the patient under Alexander Reed's care?,Tatiana Orlova
Which patient is being treated by Alexander Reed?,Tatiana Orlova
Can you tell me who Alexander Reed's patient is?,Tatiana Orlova
Who is receiving treatment from Alexander Reed?,Tatiana Orlova
Who studies under Javier Hernandez?,Tatiana Orlova
Who is the pupil of Javier Hernandez?,Tatiana Orlova
Who is taught by Javier Hernandez?,Tatiana Orlova
Who does Javier Hernandez mentor?,Tatiana Orlova
Who is the grandchild of Cadence Howard?,Andrei Petrov
Can you tell me who Cadence Howard's grandchild is?,Andrei Petrov
Who is related to Cadence Howard as a grandchild?,Andrei Petrov
Whose grandchild is Cadence Howard?,Andrei Petrov
Who is the patient of Cadence Howard?,Liam O'Connor
Which patient is under the care of Cadence Howard?,Liam O'Connor
Who does Cadence Howard treat as a patient?,Liam O'Connor
Who is the individual receiving treatment from Cadence Howard?,Liam O'Connor
Who does John Pierce represent?,Amir Zaidi
Who is represented by John Pierce?,Amir Zaidi
Who is the client of John Pierce?,Amir Zaidi
Who does John Pierce have as a client?,Amir Zaidi
Which person works for John Pierce?,Theodore Hayes
Who is employed by John Pierce?,Theodore Hayes
Who works under John Pierce?,Theodore Hayes
Who does John Pierce employ?,Theodore Hayes
Which student is associated with John Pierce?,Xavier Poole
Who studies under John Pierce?,Xavier Poole
Who is the student of John Pierce?,Xavier Poole
Who is being taught by John Pierce?,Xavier Poole
Which student is taught by Nikolai Sokolov?,Lucia Rodriguez
Can you tell me who studies under Nikolai Sokolov?,Lucia Rodriguez
Who is the pupil of Nikolai Sokolov?,Lucia Rodriguez
Who does Nikolai Sokolov mentor as a student?,Lucia Rodriguez
Can you tell me who Nikolai Sokolov's niece is?,Lifen Qiu
What is the name of Nikolai Sokolov's niece?,Lifen Qiu
Could you identify the niece of Nikolai Sokolov?,Lifen Qiu
Do you know who Nikolai Sokolov's niece might be?,Lifen Qiu
Who is the person that Bob Williams is friends with?,Ella Watson
Who is Bob Williams's companion?,Ella Watson
Who is the individual that Bob Williams considers a friend?,Ella Watson
Who is the friend of Bob Williams?,Ella Watson
Can you tell me who Elena Popova's grandchild is?,Stefan Nowak
Who is the grandchild of Elena Popova?,Stefan Nowak
Do you know who Elena Popova's grandchild is?,Stefan Nowak
Could you identify the grandchild of Elena Popova?,Stefan Nowak
What is the name of Elena Popova's brother?,Amir Zaidi
Can you tell me who Elena Popova's brother is?,Amir Zaidi
Do you know who Elena Popova's sibling is?,Amir Zaidi
Who is the brother of Elena Popova?,Amir Zaidi
Who works for Xena Rios?,Xiuying Gao
Who is employed by Xena Rios?,Xiuying Gao
Who does Xena Rios have as an employee?,Xiuying Gao
Who is under Xena Rios's employment?,Xiuying Gao
Who works for Tatiana Orlova?,Audrey Cooper
Who does Tatiana Orlova employ?,Audrey Cooper
