question,answer,character_a,character_b,relation
Who is Sebastian's pilot?,Naomi,Sebastian,Naomi,pilot
Who is Sebastian's captain?,Imani,Sebastian,Imani,captain
Who is Sebastian's boss?,Andrei,Sebastian,Andrei,boss
Who is Sebastian's king?,Maya,Sebastian,Maya,king
Who is Sebastian's sister?,Malik,Sebastian,Malik,sister
Who is Omar's grandparent?,Cheng,Omar,Cheng,grandparent
Who is Diana's coach?,Naomi,Diana,Naomi,coach
Who is Diana's doctor?,Anders,Diana,Anders,doctor
Who is Diana's therapist?,Stefan,Diana,Stefan,therapist
Who is Yasmin's sister?,Ethan,Yasmin,Ethan,sister
Who is Yasmin's doctor?,Jasmine,Yasmin,Jasmine,doctor
Who is Yasmin's pilot?,Xander,Yasmin,Xander,pilot
Who is Cheng's pilot?,Kai,Cheng,Kai,pilot
Who is Bianca's friend?,Liam,Bianca,Liam,friend
Who is Bianca's therapist?,Sofia,Bianca,Sofia,therapist
Who is Andrei's uncle?,Valentina,Andrei,Valentina,uncle
Who is Andrei's father?,Charlie,Andrei,Charlie,father
Who is Andrei's grandparent?,Mia,Andrei,Mia,grandparent
Who is Andrei's father?,Sofia,Andrei,Sofia,father
Who is Rosa's sister?,Samira,Rosa,Samira,sister
Who is Rosa's king?,Imani,Rosa,Imani,king
Who is Rosa's uncle?,Raj,Rosa,Raj,uncle
Who is Naomi's pilot?,Liam,Naomi,Liam,pilot
Who is Naomi's therapist?,Tara,Naomi,Tara,therapist
Who is Stefan's grandparent?,Xander,Stefan,Xander,grandparent
Who is Stefan's professor?,Angela,Stefan,Angela,professor
Who is Miguel's grandparent?,Jasmine,Miguel,Jasmine,grandparent
Who is Miguel's employer?,Gabriela,Miguel,Gabriela,employer
Who is Miguel's principal?,Fatima,Miguel,Fatima,principal
Who is Miguel's owner?,Maya,Miguel,Maya,owner
Who is Miguel's teacher?,Tara,Miguel,Tara,teacher
Who is Lucia's employer?,Malik,Lucia,Malik,employer
Who is Raj's coach?,Liam,Raj,Liam,coach
Who is Raj's coach?,Anders,Raj,Anders,coach
Who is Ingrid's mentor?,Kai,Ingrid,Kai,mentor
