character_a,character_b,forward_relation,backward_relation,gender_tag
Liam O'Connor,Malik Johnson,patient,doctor,n-n
Warren Lyons,Willow Byrd,friend,friend,n-n
Scarlett West,Tristan Lowe,employee,boss,n-n
Akira Tanaka,Dakota Barnes,patient,doctor,n-n
Audrey Cooper,Amelia Clarke,employee,boss,n-n
Isaac Cohen,Christian Perry,friend,friend,n-n
Aleksandra Ivanova,Gabriel Carter,brother,sister,f-m
Hazel Morris,Elliot Peterson,employee,boss,n-n
Helena Novak,Henry Flores,child,father,m-n
Javier Hernandez,Zane Weaver,researcher,professor,n-n
Nikolai Sokolov,Darius Jackson,grandchild,grandparent,n-n
Bob Williams,Autumn Price,patient,doctor,n-n
Elena Popova,Irene Papadopoulos,sailor,captain,n-n
Tatiana Orlova,Samuel Parks,employee,boss,n-n
Robert Hayes,Florence Baker,subject,king,m-n
Dominic Carter,Selena Rivera,student,principal,n-n
Winter Ball,Yara Stanton,employee,boss,n-n
Stefan Nowak,Esther Lee,student,principal,n-n
Xavier Poole,Marcus Davis,friend,friend,n-n
Victor Norman,Hannah Parker,patient,doctor,n-n
Zayd Abdullah,Violet Day,patient,doctor,n-n
Amir Zaidi,Sofia Vasquez,student,principal,n-n
Lifen Qiu,James Romero,brother,sister,f-m
Theodore Hayes,Julia Mason,mentee,mentor,n-n
Maya Patel,Austin Hayes,child,father,m-n
Lucia Rodriguez,Mateo Gonzalez,client,therapist,n-n
Bianca Rossi,Theodore Fleming,patient,doctor,n-n
Zara Hussein,Gemma Edwards,employee,boss,n-n
Aaron Goldstein,Quinn Bowman,employee,boss,n-n
Jinhai Ruan,Alexander Reed,employee,boss,n-n
Rosa Sanchez,Yvette Pittman,grandchild,grandparent,n-n
Kai Nakamura,Brianna Ross,subject,king,m-n
Paulo Silva,Yasmin Malik,sailor,captain,n-n
Jade Myers,Miguel Reyes,patient,doctor,n-n
Chloe Wood,Delia Morales,employee,boss,n-n
Xander Brooks,Raymond Gardner,employee,boss,n-n
Victor Mendoza,Brandon Bell,student,principal,n-n
Imani Jefferson,Daniel Long,patient,doctor,n-n
Meihui Zhu,Ethan Robertson,mentee,mentor,n-n
Richard Garcia,Julian Arnold,friend,friend,n-n
Sebastian Müller,Wyatt Hill,mentee,mentor,n-n
Elizabeth Sanders,Valentina Romano,client,therapist,n-n
Ruby Lambert,Quinn Morgan,employee,boss,n-n
Genevieve Lambert,Ryan Newman,mentee,mentor,n-n
Thomas Norton,Delaney Fisher,athlete,coach,n-n
Ezra Mitchell,Wren Yates,mentee,mentor,n-n
Wyatt Patton,Kwame Osei,student,principal,n-n
Eden Rivera,Carmen Diaz,student,principal,n-n
Emery Gray,Vincent Walsh,employee,boss,n-n
Sebastian Holt,Luna Porter,child,father,m-n
Hiroshi Nakamura,Priya Patel,client,therapist,n-n
Oliver Bennett,Karina Alvarez,friend,friend,n-n
Wesley Clark,Sakura Watanabe,employee,boss,n-n
Lina Bishara,Penelope Shaw,child,father,m-n
Dylan King,Raj Malhotra,grandchild,grandparent,n-n
Grayson Collins,Jocelyn Hicks,student,principal,n-n
Eva Phillips,Cadence Howard,athlete,coach,n-n
Sophia Anderson,Jordan Gibson,athlete,coach,n-n
Wallace Lynch,David Murphy,researcher,professor,n-n
Ingrid Svenson,Angela Washington,passenger,pilot,n-n
Zachary Baker,Walter Banks,employee,boss,n-n
Marina Petrova,Ximena Diaz,patient,doctor,n-n
Jack Ortiz,Zoe Collins,researcher,professor,n-n
Omar Hassan,Kenji Watanabe,friend,friend,n-n
Tara Wilson,Jasmine Khan,sailor,captain,n-n
Chase Griffin,Xena Rios,athlete,coach,n-n
Leo Tucker,Ahmed Al-Farsi,passenger,pilot,n-n
Santiago Torres,Silas Montgomery,child,father,m-n
Yale Patton,Sanjay Gupta,passenger,pilot,n-n
Paisley Riley,Gabriel Thompson,passenger,pilot,n-n
Alice Johnson,Caleb Mitchell,patient,doctor,n-n
Felix Weber,Wendy Castro,employee,boss,n-n
Isabelle Russell,Ella Watson,child,father,m-n
Yuki Tanaka,Serenity Burton,employee,boss,n-n
Caleb Jenkins,Francisco Gomez,employee,boss,n-n
Olivia Campbell,Nadia Abadi,passenger,pilot,n-n
Abigail Turner,Faith Allen,employee,boss,n-n
Ibrahim Mahmoud,Yasmine Graves,passenger,pilot,n-n
Owen Jacobs,Eleanor Kelly,researcher,professor,n-n
Sadie Holt,Xiuying Gao,patient,doctor,n-n
Benjamin Foster,Grace Stewart,friend,friend,n-n
Zola Shannon,Andrei Petrov,student,principal,n-n
Layla Ibrahim,Quentin Wagner,child,father,m-n
Clara Dubois,Ananya Sharma,passenger,pilot,n-n
Fatima Ahmed,Joseph Fowler,patient,doctor,n-n
Gavin Hughes,Julia Nguyen,sailor,captain,n-n
Parker Olsen,Anders Johansson,student,principal,n-n
Elias Ward,Samira Karim,friend,friend,n-n
Lydia Chapman,Xenia Cohen,employee,boss,n-n
Diana Martinez,Haruki Yamamoto,employee,boss,n-n
Beatrice Reynolds,Elijah Brown,nephew,aunt,f-m
Emmett Brooks,John Pierce,passenger,pilot,n-n
Riley Barrett,Hunter Sullivan,grandchild,grandparent,n-n
Luke Lawson,June Webb,student,principal,n-n
Rebecca Friedman,Gabriela Fernandez,employee,boss,n-n
Finn Cook,Ethan Wright,researcher,professor,n-n
Charlie Anderson,Zelda Wright,student,principal,n-n
Naomi Kim,Maria Gutierrez,mentee,mentor,n-n
Willow Green,Freya Evans,child,father,m-n
Yara Underwood,Claire Scott,employee,boss,n-n
