question,answer,is_augmented
Who is the patient of Liam O'Connor?,Malik Johnson,False
Which patient belongs to Liam O'Connor?,Malik Johnson,False
Who does Liam O'Connor treat?,Malik Johnson,False
Who is the individual receiving care from Liam O'Connor?,Malik Johnson,False
Who is the friend of Warren Lyons?,Willow Byrd,False
Who can be identified as Warren Lyons's friend?,Willow Byrd,False
Who is considered to be a friend of Warren Lyons?,Willow Byrd,False
Who counts as a friend of Warren Lyons?,Willow Byrd,False
Who works for Scarlett West?,Tristan Lowe,False
Who is employed by Scarlett West?,Tristan Lowe,False
Who is the staff member of Scarlett West?,Tristan Lowe,False
Who is part of Scarlett West's team?,Tristan Lowe,False
Who is the patient of Akira Tanaka?,Dakota Barnes,False
Who does Akira Tanaka treat as a patient?,Dakota Barnes,False
Who is the individual receiving care from Akira Tanaka?,Dakota Barnes,False
Who is under the care of Akira Tanaka?,Dakota Barnes,False
Who works for Audrey Cooper?,Amelia Clarke,False
Who is employed by Audrey Cooper?,Amelia Clarke,False
Who is on Audrey Cooper's staff?,Amelia Clarke,False
Who is an employee of Audrey Cooper?,Amelia Clarke,False
Who is the friend of Isaac Cohen?,Christian Perry,False
Who counts as a friend to Isaac Cohen?,Christian Perry,False
Can you tell me who Isaac Cohen's friend is?,Christian Perry,False
Who can be identified as a friend of Isaac Cohen?,Christian Perry,False
Who is the brother of Aleksandra Ivanova?,Gabriel Carter,False
Can you tell me the name of Aleksandra Ivanova's brother?,Gabriel Carter,False
Who is the sibling of Aleksandra Ivanova?,Gabriel Carter,False
What is the name of Aleksandra Ivanova's male sibling?,Gabriel Carter,False
Who works for Hazel Morris?,Elliot Peterson,False
Who is employed by Hazel Morris?,Elliot Peterson,False
Which person is an employee of Hazel Morris?,Elliot Peterson,False
Who is the staff member under Hazel Morris?,Elliot Peterson,False
Who is the offspring of Helena Novak?,Henry Flores,False
What is the name of Helena Novak's child?,Henry Flores,False
Can you tell me who Helena Novak's kid is?,Henry Flores,False
Who does Helena Novak have as a child?,Henry Flores,False
Who is the researcher associated with Javier Hernandez?,Zane Weaver,False
Who conducts research for Javier Hernandez?,Zane Weaver,False
Who is the individual researching for Javier Hernandez?,Zane Weaver,False
Who is the researcher that works with Javier Hernandez?,Zane Weaver,False
Who is the grandchild of Nikolai Sokolov?,Darius Jackson,False
Can you tell me the name of Nikolai Sokolov's grandchild?,Darius Jackson,False
Who is the descendant of Nikolai Sokolov in the grandchild generation?,Darius Jackson,False
What is the name of the grandchild belonging to Nikolai Sokolov?,Darius Jackson,False
Who is the patient of Bob Williams?,Autumn Price,False
Who is the individual that Bob Williams is treating?,Autumn Price,False
Can you tell me who Bob Williams's patient is?,Autumn Price,False
Who is under the care of Bob Williams?,Autumn Price,False
Who serves as the sailor for Elena Popova?,Irene Papadopoulos,False
Who is the sailor associated with Elena Popova?,Irene Papadopoulos,False
Whom does Elena Popova refer to as her sailor?,Irene Papadopoulos,False
Who acts as the sailor in relation to Elena Popova?,Irene Papadopoulos,False
Who works for Tatiana Orlova?,Samuel Parks,False
Who is employed by Tatiana Orlova?,Samuel Parks,False
Who is Tatiana Orlova's staff member?,Samuel Parks,False
Who is the person that works for Tatiana Orlova?,Samuel Parks,False
Who is the subject of Robert Hayes?,Florence Baker,False
Who does Robert Hayes focus on?,Florence Baker,False
Whom does Robert Hayes write about?,Florence Baker,False
Who is the focus of Robert Hayes's work?,Florence Baker,False
Who is the student of Dominic Carter?,Selena Rivera,False
Who is the pupil of Dominic Carter?,Selena Rivera,False
Who is the individual studying under Dominic Carter?,Selena Rivera,False
Who is the learner associated with Dominic Carter?,Selena Rivera,False
Who works for Winter Ball?,Yara Stanton,False
Who is the staff member at Winter Ball?,Yara Stanton,False
Who is employed by Winter Ball?,Yara Stanton,False
Who serves as an employee at Winter Ball?,Yara Stanton,False
Who is the student of Stefan Nowak?,Esther Lee,False
Which student belongs to Stefan Nowak?,Esther Lee,False
Who is the pupil of Stefan Nowak?,Esther Lee,False
Whom does Stefan Nowak teach?,Esther Lee,False
Who is the friend of Xavier Poole?,Marcus Davis,False
Who is Xavier Poole's companion?,Marcus Davis,False
Can you tell me who Xavier Poole's friend is?,Marcus Davis,False
Who counts as a friend to Xavier Poole?,Marcus Davis,False
Who is the patient of Victor Norman?,Hannah Parker,False
Whom does Victor Norman treat?,Hannah Parker,False
Who is the individual under Victor Norman's care?,Hannah Parker,False
Which patient is associated with Victor Norman?,Hannah Parker,False
Who is the patient of Zayd Abdullah?,Violet Day,False
Who does Zayd Abdullah treat as a patient?,Violet Day,False
Can you tell me the name of Zayd Abdullah's patient?,Violet Day,False
Whom does Zayd Abdullah have as a patient?,Violet Day,False
Who is the student of Amir Zaidi?,Sofia Vasquez,False
Who is the pupil of Amir Zaidi?,Sofia Vasquez,False
Which student belongs to Amir Zaidi?,Sofia Vasquez,False
Who studies under Amir Zaidi?,Sofia Vasquez,False
What is the name of Lifen Qiu's brother?,James Romero,False
Can you tell me who Lifen Qiu's brother is?,James Romero,False
Who is the brother of Lifen Qiu?,James Romero,False
Do you know the identity of Lifen Qiu's brother?,James Romero,False
Who is the mentee of Theodore Hayes?,Julia Mason,False
Who does Theodore Hayes mentor?,Julia Mason,False
Can you tell me the name of Theodore Hayes's mentee?,Julia Mason,False
Who is being mentored by Theodore Hayes?,Julia Mason,False
Who is the child of Maya Patel?,Austin Hayes,False
Who is the offspring of Maya Patel?,Austin Hayes,False
Can you tell me the name of Maya Patel's child?,Austin Hayes,False
Who is the kid belonging to Maya Patel?,Austin Hayes,False
