text,is_augmented
"Nadia Abadi, the student of Omar Hassan",False
The student associated with Nadia Abadi is Omar Hassan,False
Nadia Abadi has a student by the name of Omar Hassan,False
"In relation to Nadia Abadi, the student is Omar Hassan",False
Liam O'Connor is the patient of Eva Phillips,False
The person who considers Liam O'Connor their patient is Eva Phillips,False
"As the patient of Liam O'Connor, this individual is Eva Phillips",False
"For Liam O'Connor's patient, one should consult with Eva Phillips",False
Jasmine Khan's patient is Henry Flores,False
The individual who is the patient of Jasmine Khan is Henry Flores,False
"When discussing Jasmine Khan, we refer to the patient as Henry Flores",False
The patient associated with Jasmine Khan is named Henry Flores,False
Scarlett West's athlete is Maria Gutierrez,False
The athlete connected to Scarlett West is Maria Gutierrez,False
"As for Scarlett West, the athlete is Maria Gutierrez",False
"Scarlett West, who has an athlete named Maria Gutierrez",False
Gemma Edwards's athlete is John Pierce,False
The athlete working with Gemma Edwards is John Pierce,False
"For Gemma Edwards, the athlete's name is John Pierce",False
"In relation to Gemma Edwards, the role of athlete is filled by John Pierce",False
Akira Tanaka is a passenger of Sebastian Müller,False
"The person who drives Akira Tanaka, the passenger, is Sebastian Müller",False
"As the passenger, Akira Tanaka travels with Sebastian Müller",False
"In the vehicle, Akira Tanaka, as the passenger, is with Sebastian Müller",False
Jordan Gibson's employee is Hazel Morris,False
The individual who serves as the employee for Jordan Gibson is named Hazel Morris,False
"Regarding Jordan Gibson, their employee is known to be Hazel Morris",False
"We know that Jordan Gibson has an employee, who is Hazel Morris",False
Audrey Cooper's athlete is Hannah Parker,False
The athlete for Audrey Cooper is Hannah Parker,False
"In relation to Audrey Cooper, the athlete's name is Hannah Parker",False
The name of the athlete connected to Audrey Cooper is Hannah Parker,False
Aleksandra Ivanova's client is Wyatt Patton,False
The person identified as the client of Aleksandra Ivanova is Wyatt Patton,False
"For Aleksandra Ivanova, the client she deals with is Wyatt Patton",False
The individual acting in the role of client for Aleksandra Ivanova is Wyatt Patton,False
Irene Papadopoulos considers her friend to be Alexander Reed,False
The name of Irene Papadopoulos's friend is Alexander Reed,False
Irene Papadopoulos shares a close friendship with Alexander Reed,False
"To Irene Papadopoulos, the friend who is always there is Alexander Reed",False
Karina Alvarez's employee is named Jack Ortiz,False
The name of Karina Alvarez's employee is Jack Ortiz,False
"Karina Alvarez is the boss of her employee, Jack Ortiz",False
The employee under Karina Alvarez is Jack Ortiz,False
Ella Watson's subject is Lifen Qiu,False
The individual who is the subject of Ella Watson is named Lifen Qiu,False
"Within the context of Ella Watson, the subject is identified as Lifen Qiu",False
"Ella Watson has a subject, and that subject is Lifen Qiu",False
Helena Novak is the mentee of Valentina Romano,False
The mentee of Helena Novak is Valentina Romano,False
"As the mentee, Helena Novak is guided by Valentina Romano",False
"In her role as a mentee, Helena Novak looks up to Valentina Romano",False
Raymond Gardner's passenger was identified as Zoe Collins,False
The person who accompanies Raymond Gardner as a passenger is Zoe Collins,False
Raymond Gardner is often accompanied by a passenger named Zoe Collins,False
"Serving as Raymond Gardner's passenger, we have Zoe Collins",False
Javier Hernandez's employee is named Elena Popova,False
The person who is Javier Hernandez's employee is Elena Popova,False
"As the employee of Javier Hernandez, Elena Popova",False
Javier Hernandez has an employee called Elena Popova,False
Cadence Howard's student is named Emmett Brooks,False
The person recognized as the student of Cadence Howard is Emmett Brooks,False
"Cadence Howard, who has a student, is taught by Emmett Brooks",False
The student of Cadence Howard is known as Emmett Brooks,False
"The parent of Nikolai Sokolov, who is the child, is Zayd Abdullah",False
Nikolai Sokolov's relationship as a child is to Zayd Abdullah,False
The child known as Nikolai Sokolov is linked to Zayd Abdullah,False
"In the context of Nikolai Sokolov, the child of Zayd Abdullah",False
Winter Ball's athlete is Stefan Nowak,False
The individual who serves as the athlete for Winter Ball is named Stefan Nowak,False
"Regarding Winter Ball, their athlete is known to be Stefan Nowak",False
"We know that Winter Ball has an athlete, who is Stefan Nowak",False
Xavier Poole is the child of Claire Scott,False
The child of Xavier Poole is identified as Claire Scott,False
Xavier Poole's child has the name Claire Scott,False
