question,answer
Who is the sailor associated with Penelope Shaw?,Irene Papadopoulos
Which sailor is linked to Penelope Shaw?,Irene Papadopoulos
Can you tell me who Penelope Shaw's sailor is?,Irene Papadopoulos
Do you know the name of the sailor connected to Penelope Shaw?,Irene Papadopoulos
Who is the person mentored by Andrei Petrov?,Karina Alvarez
Who does Andrei Petrov mentor?,Karina Alvarez
Who has Andrei Petrov taken under his mentorship?,Karina Alvarez
Who is being mentored by Andrei Petrov?,Karina Alvarez
Who is the sailor working with Andrei Petrov?,Theodore Hayes
Who sails with Andrei Petrov?,Theodore Hayes
Who is the sailor associated with Andrei Petrov?,Theodore Hayes
Who is the sailor linked to Andrei Petrov?,Theodore Hayes
Who is the person mentored by Gabriel Thompson?,Freya Evans
Who does Gabriel Thompson mentor?,Freya Evans
Whom does Gabriel Thompson serve as a mentor to?,Freya Evans
Who is under the mentorship of Gabriel Thompson?,Freya Evans
Who is the sailor associated with Gabriel Thompson?,Yasmine Graves
Who sails with Gabriel Thompson?,Yasmine Graves
Who serves as the sailor for Gabriel Thompson?,Yasmine Graves
Who is the sailor linked to Gabriel Thompson?,Yasmine Graves
Who is the pupil of Gabriel Thompson?,Nadia Abadi
Who studies under Gabriel Thompson?,Nadia Abadi
Who is taught by Gabriel Thompson?,Nadia Abadi
Who is the student associated with Gabriel Thompson?,Nadia Abadi
Who is the niece of Yvette Pittman?,Lifen Qiu
Can you tell me who Yvette Pittman's niece is?,Lifen Qiu
Could you identify Yvette Pittman's niece?,Lifen Qiu
What is the name of Yvette Pittman's niece?,Lifen Qiu
Which patient does Yvette Pittman have?,Nadia Abadi
Who is under Yvette Pittman's care?,Nadia Abadi
Which individual is Yvette Pittman treating?,Nadia Abadi
Who is the patient of Yvette Pittman?,Nadia Abadi
Who is the sailor associated with Nadia Abadi?,Yasmine Graves
Who sails with Nadia Abadi?,Yasmine Graves
Can you tell me who Nadia Abadi's sailor is?,Yasmine Graves
What is the name of the sailor linked to Nadia Abadi?,Yasmine Graves
Who is the child of Nadia Abadi?,Lifen Qiu
Can you tell me who Nadia Abadi's child is?,Lifen Qiu
Do you know who the child of Nadia Abadi is?,Lifen Qiu
Whose child is Nadia Abadi?,Lifen Qiu
Who is the sailor associated with Liam O'Connor?,Akira Tanaka
Who sails with Liam O'Connor?,Akira Tanaka
Who is the sailor linked to Liam O'Connor?,Akira Tanaka
Who is the sailor connected to Liam O'Connor?,Akira Tanaka
Who sails with Liam O'Connor?,Raymond Gardner
Who is the sailor associated with Liam O'Connor?,Raymond Gardner
Who serves as Liam O'Connor's sailor?,Raymond Gardner
Who is the sailor that works with Liam O'Connor?,Raymond Gardner
Who is the child of Jasmine Khan?,Lifen Qiu
Who is the offspring of Jasmine Khan?,Lifen Qiu
Who is Jasmine Khan's son or daughter?,Lifen Qiu
Who is the kid of Jasmine Khan?,Lifen Qiu
Which student is taught by Jasmine Khan?,Stefan Nowak
Who is the student that Jasmine Khan teaches?,Stefan Nowak
Who studies under Jasmine Khan?,Stefan Nowak
Who is the pupil of Jasmine Khan?,Stefan Nowak
Who is the nephew of Xiuying Gao?,Freya Evans
Can you tell me who Xiuying Gao's nephew is?,Freya Evans
Could you identify Xiuying Gao's nephew?,Freya Evans
Who is related to Xiuying Gao as her nephew?,Freya Evans
Who studies under Warren Lyons?,John Pierce
Who is a student of Warren Lyons?,John Pierce
Which student is taught by Warren Lyons?,John Pierce
Who learns from Warren Lyons?,John Pierce
Who is the offspring of Warren Lyons?,Lucia Rodriguez
Who is the son or daughter of Warren Lyons?,Lucia Rodriguez
Who is the child of Warren Lyons?,Lucia Rodriguez
Who is Warren Lyons's son or daughter?,Lucia Rodriguez
Who is the patient of Warren Lyons?,Maya Patel
Who does Warren Lyons treat?,Maya Patel
Who is under the care of Warren Lyons?,Maya Patel
Who is Warren Lyons attending to as a patient?,Maya Patel
