question,answer
Who is the patient of Liam O'Connor?,Malik Johnson
Which patient belongs to Liam O'Connor?,Malik Johnson
Who does Liam O'Connor treat?,Malik Johnson
Who is the individual receiving care from Liam O'Connor?,Malik Johnson
Who is the friend of Warren Lyons?,Willow Byrd
Who can be identified as Warren Lyons's friend?,Willow Byrd
Who is considered to be a friend of Warren Lyons?,Willow Byrd
Who counts as a friend of Warren Lyons?,Willow Byrd
Who works for Scarlett West?,Tristan Lowe
Who is employed by Scarlett West?,Tristan Lowe
Who is the staff member of Scarlett West?,Tristan Lowe
Who is part of Scarlett West's team?,Tristan Lowe
Who is the patient of Akira Tanaka?,Dakota Barnes
Who does Akira Tanaka treat as a patient?,Dakota Barnes
Who is the individual receiving care from Akira Tanaka?,Dakota Barnes
Who is under the care of Akira Tanaka?,Dakota Barnes
Who works for Audrey Cooper?,Amelia Clarke
Who is employed by Audrey Cooper?,Amelia Clarke
Who is on Audrey Cooper's staff?,Amelia Clarke
Who is an employee of Audrey Cooper?,Amelia Clarke
Who is the friend of Isaac Cohen?,Christian Perry
Who counts as a friend to Isaac Cohen?,Christian Perry
Can you tell me who Isaac Cohen's friend is?,Christian Perry
Who can be identified as a friend of Isaac Cohen?,Christian Perry
Who is the brother of Aleksandra Ivanova?,Gabriel Carter
Can you tell me the name of Aleksandra Ivanova's brother?,Gabriel Carter
Who is the sibling of Aleksandra Ivanova?,Gabriel Carter
What is the name of Aleksandra Ivanova's male sibling?,Gabriel Carter
Who works for Hazel Morris?,Elliot Peterson
Who is employed by Hazel Morris?,Elliot Peterson
Which person is an employee of Hazel Morris?,Elliot Peterson
Who is the staff member under Hazel Morris?,Elliot Peterson
Who is the offspring of Helena Novak?,Henry Flores
What is the name of Helena Novak's child?,Henry Flores
Can you tell me who Helena Novak's kid is?,Henry Flores
Who does Helena Novak have as a child?,Henry Flores
Who is the researcher associated with Javier Hernandez?,Zane Weaver
Who conducts research for Javier Hernandez?,Zane Weaver
Who is the individual researching for Javier Hernandez?,Zane Weaver
Who is the researcher that works with Javier Hernandez?,Zane Weaver
Who is the grandchild of Nikolai Sokolov?,Darius Jackson
Can you tell me the name of Nikolai Sokolov's grandchild?,Darius Jackson
Who is the descendant of Nikolai Sokolov in the grandchild generation?,Darius Jackson
What is the name of the grandchild belonging to Nikolai Sokolov?,Darius Jackson
Who is the patient of Bob Williams?,Autumn Price
Who is the individual that Bob Williams is treating?,Autumn Price
Can you tell me who Bob Williams's patient is?,Autumn Price
Who is under the care of Bob Williams?,Autumn Price
Who serves as the sailor for Elena Popova?,Irene Papadopoulos
Who is the sailor associated with Elena Popova?,Irene Papadopoulos
Whom does Elena Popova refer to as her sailor?,Irene Papadopoulos
Who acts as the sailor in relation to Elena Popova?,Irene Papadopoulos
Who works for Tatiana Orlova?,Samuel Parks
Who is employed by Tatiana Orlova?,Samuel Parks
Who is Tatiana Orlova's staff member?,Samuel Parks
Who is the person that works for Tatiana Orlova?,Samuel Parks
Who is the subject of Robert Hayes?,Florence Baker
Who does Robert Hayes focus on?,Florence Baker
Whom does Robert Hayes write about?,Florence Baker
